"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"9V,9V,9V,9V";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Conn_01x01";;;
2;"4558,4558,4558,4558";"DIP-8_W7.62mm_Socket_LongPads";4;"RC4558";;;
3;"4.7k,4.7k,4.7k,4.7k";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"R";;;
4;"470,470,470,470";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"470";;;
5;"1k,1k,1k,1k,1k,1k,1k,1k,1k,1k,1k,1k";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";12;"1k";;;
6;"1M,1M,1M,1M,1M,1M,1M,1M";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"1M";;;
7;"10k,10k,10k,10k,10k,10k,10k,10k,10k,10k,10k,10k";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";12;"10k";;;
8;"390,390,390,390";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"390";;;
9;"GND,GND,GND,GND,GND,GND,GND,GND";"TestPoint_THTPad_D2.5mm_Drill1.2mm";8;"in_GND";;;
10;"LED,LED,LED,LED";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"LED1";;;
11;"500kB3,500kB3,500kB3,500kB3";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Vol500B3";;;
12;"500kB2,500kB2,500kB2,500kB2";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Vol500B2_OUT";;;
13;"500kB1,500kB1,500kB1,500kB1";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Vol500B1";;;
14;"5kB3,5kB3,5kB3,5kB3";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Tone_5kB3";;;
15;"5kB2,5kB2,5kB2,5kB2";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Tone_5kB2";;;
16;"5kB1,5kB1,5kB1,5kB1";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Tone_5kB1";;;
17;"100kA3,100kA3,100kA3,100kA3";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Drive100k3";;;
18;"100kA2,100kA2,100kA2,100kA2";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"Drive100k1_2";;;
19;"in,in,in,in";"TestPoint_THTPad_D2.5mm_Drill1.2mm";4;"in";;;
20;"D5,D5,D5,D4,D4,D4,D3,D3,D3,D2,D2,D2,D2,D3,D4,D5";"D_DO-35_SOD27_P7.62mm_Horizontal";16;"1N4148";;;
21;"D1,D1,D1,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N5817";;;
22;"0.22uF,0.22uF,0.22uF,0.22uF";"C_Disc_D3.0mm_W2.0mm_P2.50mm";4;"0.22uF";;;
23;"22uF,22uF,22uF,22uF";"CP_Radial_D5.0mm_P2.50mm";4;"22uF";;;
24;"0.22uF,0.22uF,0.22uF,0.22uF,0.22uF,0.22uF,0.22uF,0.22uF";"C_Disc_D3.0mm_W2.0mm_P2.50mm";8;"0.22u";;;
25;"0.047uF,0.047uF,0.047uF,0.047uF";"C_Disc_D3.0mm_W2.0mm_P2.50mm";4;"0.047u";;;
26;"47uF,47uF,47uF,47uF,47uF,47uF,47uF,47uF";"CP_Radial_D5.0mm_P2.50mm";8;"47u";;;
